minPoints;eps;adsCount;networkLength;avgLenPerAds;ruute;elanike_arv;asustus
20;500;59;2915;49;3;335;Harju maakond, Anija vald, Aegviidu alev - Pillapalu küla
20;500;28;2314;83;3;339;Harju maakond, Anija vald, Alavere küla
20;350;25;907;36;2;0;Harju maakond, Anija vald, Arava küla - Pikva küla
20;500;39;3546;91;3;38;Harju maakond, Anija vald, Kaunissaare küla
20;500;376;23136;62;12;3776;Harju maakond, Anija vald, Kaunissaare küla - Kehra küla - Kehra linn - Lehtmetsa küla - Paasiku küla - Salumetsa küla - Ülejõe küla
20;500;22;1870;85;4;92;Harju maakond, Anija vald, Lilli küla - Soodla küla
20;200;24;872;36;1;0;Harju maakond, Anija vald, Pikva küla
20;500;134;7475;56;5;1199;Harju maakond, Anija vald, Salumäe küla - Raasiku alevik - Tõhelgi küla
20;500;160;10351;65;7;2467;Harju maakond, Kose vald, Ahisilla küla - Kose alevik
20;350;31;2205;71;4;538;Harju maakond, Kose vald, Ardu alevik
20;450;20;1982;99;2;32;Harju maakond, Kose vald, Kata küla
20;500;23;2214;96;3;159;Harju maakond, Kose vald, Kose alevik - Liiva küla
20;500;84;7613;91;6;1133;Harju maakond, Kose vald, Kose-Uuemõisa alevik - Tade küla
20;200;52;1838;35;1;42;Harju maakond, Kose vald, Krei küla
20;500;32;2355;74;3;98;Harju maakond, Kose vald, Palvere küla
20;450;20;1773;89;2;288;Harju maakond, Kose vald, Ravila alevik - Vardja küla - Võlle küla
20;500;120;8791;73;5;76;Harju maakond, Kuusalu vald, Andineeme küla - Sõitme küla
20;500;43;3380;79;4;35;Harju maakond, Kuusalu vald, Hara küla
20;400;40;2478;62;3;8;Harju maakond, Kuusalu vald, Hara küla - Virve küla
20;500;27;2176;81;2;25;Harju maakond, Kuusalu vald, Joaveski küla
20;500;22;2015;92;3;369;Harju maakond, Kuusalu vald, Kiiu alevik - Mäepea küla
20;500;154;8931;58;6;1441;Harju maakond, Kuusalu vald, Kuusalu alevik - Kuusalu küla
20;400;20;2004;100;2;23;Harju maakond, Kuusalu vald, Muuksi küla
20;500;75;7460;99;6;196;Harju maakond, Kuusalu vald, Mäepea küla - Põhja küla - Salmistu küla
20;400;30;2648;88;4;70;Harju maakond, Kuusalu vald, Pärispea küla
20;500;27;2575;95;3;71;Harju maakond, Kuusalu vald, Salmistu küla - Valkla küla
20;500;30;2399;80;3;36;Harju maakond, Kuusalu vald, Suurpea küla
20;400;44;3066;70;3;29;Harju maakond, Kuusalu vald, Tapurla küla
20;300;28;1147;41;2;27;Harju maakond, Kuusalu vald, Vahastu küla
20;500;94;8413;90;6;235;Harju maakond, Kuusalu vald, Valkla küla
20;500;28;2597;93;4;170;Harju maakond, Kuusalu vald, Vihasoo küla
20;500;354;30220;85;17;2735;Harju maakond, Raasiku vald, Aruküla alevik - Igavere küla - Järsi küla - Kalesi küla - Kulli küla - Kurgla küla
20;500;127;7782;61;4;162;Harju maakond, Raasiku vald, Kulli küla
20;450;35;3370;96;4;75;Harju maakond, Raasiku vald, Perila küla
20;500;51;5031;99;5;224;Hiiu maakond, Hiiumaa vald, Ala küla - Lõpe küla - Palade küla - Sakla küla
20;500;90;7131;79;5;721;Hiiu maakond, Hiiumaa vald, Käina alevik - Laheküla - Moka küla - Mäeküla - Nõmme küla
20;500;99;7530;76;5;2138;Hiiu maakond, Hiiumaa vald, Kärdla linn - Tareste küla
20;500;49;4658;95;5;324;Hiiu maakond, Hiiumaa vald, Kõrgessaare alevik
20;400;30;2849;95;3;138;Hiiu maakond, Hiiumaa vald, Nõmme küla - Selja küla
30;500;42;4113;98;2;45;Hiiu maakond, Hiiumaa vald, Pärna küla - Reheselja küla
20;500;290;13839;48;6;985;Ida-Viru maakond, Jõhvi vald, Altküla - Pühajõe küla - Toila alevik
20;450;23;1581;69;3;187;Ida-Viru maakond, Jõhvi vald, Amula küla - Paate küla - Kukruse linnaosa
20;500;408;18425;45;9;773;Ida-Viru maakond, Jõhvi vald, Kahula küla - Servaääre küla - Sompa linnaosa
20;400;102;5591;55;4;282;Ida-Viru maakond, Jõhvi vald, Kohtla küla - Kohtla-Nõmme alev - Kohtla-Uueküla
20;300;93;2725;29;2;29;Ida-Viru maakond, Jõhvi vald, Kotinuka küla
20;500;87;6580;76;6;679;Ida-Viru maakond, Jõhvi vald, Kukruse küla - Paate küla - Kukruse linnaosa
20;500;48;2690;56;4;44;Ida-Viru maakond, Jõhvi vald, Martsa küla
20;500;20;1458;73;2;27;Ida-Viru maakond, Jõhvi vald, Ontika küla - Saka küla
20;450;20;1906;95;3;1596;Ida-Viru maakond, Jõhvi vald, Pauliku küla
20;500;24;2307;96;2;697;Ida-Viru maakond, Jõhvi vald, Voka alevik
20;350;25;2157;86;4;288;Järva maakond, Järva vald, Ahula küla
20;500;126;8256;66;7;534;Järva maakond, Järva vald, Aravete alevik - Kurisoo küla
20;500;47;4231;90;3;947;Järva maakond, Järva vald, Aruküla - Koeru alevik
20;500;49;4826;98;3;381;Järva maakond, Järva vald, Imavere küla
20;450;143;9004;63;6;1011;Järva maakond, Järva vald, Järva-Jaani alev
20;400;22;1879;85;2;50;Järva maakond, Järva vald, Järva-Madise küla
20;450;20;1115;56;2;30;Järva maakond, Järva vald, Kalitsa küla
20;350;20;1476;74;4;346;Järva maakond, Järva vald, Koigi küla
20;500;23;1728;75;3;36;Järva maakond, Järva vald, Orgmetsa küla
20;500;23;1696;74;3;104;Järva maakond, Järva vald, Vao küla
20;450;31;3066;99;3;302;Jõgeva maakond, Põltsamaa vald, Esku küla
20;450;26;2175;84;4;511;Jõgeva maakond, Põltsamaa vald, Jüriküla - Puurmani alevik
20;500;430;29511;69;13;4264;Jõgeva maakond, Põltsamaa vald, Kuningamäe küla - Mällikvere küla - Mõhküla - Pauastvere küla - Põltsamaa linn - Võhmanõmme küla
20;500;20;1822;91;3;53;Jõgeva maakond, Põltsamaa vald, Neanurme küla
